2,3,0,M*a*r*(-4.0*M*a**2*r*sin(theta)**2 + 2.0*(a**2 + r**2)*(2*M*r - a**2*cos(theta)**2 - r**2))/((a**2*cos(theta)**2 + r**2)**3*(-2*M*r + a**2 + r**2)*tan(theta))
2,3,1,0
2,3,2,(4.0*M**2*a**2*r**2*(a**2 + r**2)*sin(theta)**2 - 1.0*(2*M*a**2*r*(a**2 + r**2)*sin(theta)**2 + (a**2*cos(theta)**2 + r**2)*(2*M*a**2*r*sin(theta)**2 + (a**2 + r**2)*(a**2*cos(theta)**2 + r**2)))*(2*M*r - a**2*cos(theta)**2 - r**2))/((a**2*cos(theta)**2 + r**2)**3*(-2*M*r + a**2 + r**2)*tan(theta))
2,3,3,0
3,0,0,-8.0*M*a**2*r*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**3
3,0,1,0
3,0,2,8.0*M*a*r*(a**2 + r**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**3
3,0,3,0
3,1,0,0
3,1,1,1.0*a**2*sin(2*theta)/((-2*M*r + a**2 + r**2)*(a**2*cos(2*theta) + a**2 + 2*r**2))
3,1,2,0
3,1,3,1.0*r/(a**2*cos(theta)**2 + r**2)
3,2,0,8.0*M*a*r*(a**2 + r**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**3
3,2,1,0
3,2,2,(-2.0*M*a**2*r*(a**2 + r**2)*sin(theta)**2 - 1.0*(a**2*cos(theta)**2 + r**2)*(2*M*a**2*r*sin(theta)**2 + (a**2 + r**2)*(a**2*cos(theta)**2 + r**2)))*sin(theta)*cos(theta)/(a**2*cos(theta)**2 + r**2)**3
3,2,3,0
3,3,0,0
3,3,1,1.0*r/(a**2*cos(theta)**2 + r**2)
3,3,2,0
3,3,3,-1.0*a**2*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)
