0,0,0,0
0,0,1,0.06373482339071819
0,0,2,0
0,0,3,-0.00552202550327681
0,1,0,0.06373482339071819
0,1,1,0
0,1,2,-0.1277239065995674
0,1,3,0
0,2,0,0
0,2,1,-0.1277239065995674
0,2,2,0
0,2,3,0.003727367214711846
0,3,0,-0.00552202550327681
0,3,1,0
0,3,2,0.003727367214711846
0,3,3,0
1,0,0,0.024491134232603854
1,0,1,0
1,0,2,-0.0165315156070076
1,0,3,0
1,1,0,0
1,1,1,-0.054611411011665736
1,1,2,0
1,1,3,-0.013916884774633376
1,2,0,-0.0165315156070076
1,2,1,0
1,2,2,-2.3412864208944435
1,2,3,0
1,3,0,0
1,3,1,-0.013916884774633376
1,3,2,0
1,3,3,-3.1365935919055645
2,0,0,0
2,0,1,0.002222446379374133
2,0,2,0
2,0,3,-0.008180778523373051
2,1,0,0.002222446379374133
2,1,1,0
2,1,2,0.1892696041867644
2,1,3,0
2,2,0,0
2,2,1,0.1892696041867644
2,2,2,0
2,2,3,0.5828722946929028
2,3,0,-0.008180778523373051
2,3,1,0
2,3,2,0.5828722946929028
2,3,3,0
3,0,0,-0.00021910625942969187
3,0,1,0
3,0,2,0.006283480617644829
3,0,3,0
3,1,0,0
3,1,1,0.0008802583665169752
3,1,2,0
3,1,3,0.19839301656581687
3,2,0,0.006283480617644829
3,2,1,0
3,2,2,-0.45183323401756237
3,2,3,0
3,3,0,0
3,3,1,0.19839301656581687
3,3,2,0
3,3,3,-0.013916884774633376
